Frame,Type,Event,Hero,Colour,Against,Player,Fight,roundID,Team1Round,Team2Round
7680,Status Bar,Swap,Reinhardt,Blue,,WHITENOISE,0,487,Well,Well
7680,Status Bar,Swap,Lucio,Red,,KELLEX,0,487,Well,Well
7680,Status Bar,Swap,Moira,Red,,RIPA,0,487,Well,Well
7680,Status Bar,Swap,Sombra,Red,,DANNEDD,0,487,Well,Well
7680,Status Bar,Swap,Reaper,Red,,SPARKR,0,487,Well,Well
7680,Status Bar,Swap,D.Va,Red,,MOLFIG,0,487,Well,Well
7680,Status Bar,Swap,Winston,Red,,HADI,0,487,Well,Well
7680,Status Bar,Swap,Lucio,Blue,,KARRA,0,487,Well,Well
7680,Status Bar,Swap,Moira,Blue,,SLAY,0,487,Well,Well
7680,Status Bar,Swap,Symmetra,Blue,,SYCAMORE,0,487,Well,Well
7680,Status Bar,Swap,Mei,Blue,,SAUNA,0,487,Well,Well
7680,Status Bar,Swap,D.Va,Blue,,XVESTOLA,0,487,Well,Well
7920,Status Bar,Swap,Reaper,Blue,,SYCAMORE,0,487,Well,Well
10380,Kill Feed,Kill,Reinhardt,Blue,Winston,WHITENOISE,1,487,Well,Well
10380,Kill Feed,Death,Winston,Red,Reinhardt,HADI,1,487,Well,Well
11100,Status Bar,Ult Ready,Moira,Blue,,SLAY,1,487,Well,Well
11340,Kill Feed,Kill,Reaper,Blue,Reaper,SYCAMORE,2,487,Well,Well
11340,Kill Feed,Death,Reaper,Red,Reaper,SPARKR,2,487,Well,Well
11340,Status Bar,Ult Used,Moira,Blue,,SLAY,2,487,Well,Well
11580,Kill Feed,Death,Lucio,Red,D.Va,KELLEX,2,487,Well,Well
11580,Kill Feed,Kill,D.Va,Blue,Lucio,XVESTOLA,2,487,Well,Well
11940,Status Bar,Ult Ready,Moira,Red,,RIPA,2,487,Well,Well
12420,Status Bar,Ult Ready,Sombra,Red,,DANNEDD,2,487,Well,Well
13320,Status Bar,Ult Ready,Mei,Blue,,SAUNA,0,487,Well,Well
13560,Status Bar,Ult Used,Moira,Red,,RIPA,3,487,Well,Well
14280,Status Bar,Ult Used,Mei,Blue,,SAUNA,3,487,Well,Well
14280,Status Bar,Ult Used,Sombra,Red,,DANNEDD,3,487,Well,Well
14280,Status Bar,Ult Ready,D.Va,Red,,MOLFIG,3,487,Well,Well
14280,Status Bar,Ult Ready,Lucio,Blue,,KARRA,3,487,Well,Well
14460,Status Bar,Ult Ready,Moira,Blue,,SLAY,3,487,Well,Well
14460,Status Bar,Ult Used,Lucio,Blue,,KARRA,3,487,Well,Well
14460,Status Bar,Ult Used,D.Va,Red,,MOLFIG,3,487,Well,Well
14640,Status Bar,Ult Ready,Reinhardt,Blue,,WHITENOISE,3,487,Well,Well
15060,Status Bar,Ult Ready,D.Va,Blue,,XVESTOLA,3,487,Well,Well
15060,Status Bar,Ult Used,Reinhardt,Blue,,WHITENOISE,3,487,Well,Well
15060,Status Bar,Ult Ready,Winston,Red,,HADI,3,487,Well,Well
15060,Kill Feed,Death,Reaper,Blue,Reaper,SYCAMORE,3,487,Well,Well
15060,Kill Feed,Kill,Reaper,Red,Reaper,SPARKR,3,487,Well,Well
15120,Status Bar,Ult Used,Moira,Blue,,SLAY,3,487,Well,Well
15180,Kill Feed,Kill,Lucio,Red,Reinhardt,KELLEX,3,487,Well,Well
15180,Kill Feed,Death,Reinhardt,Blue,Lucio,WHITENOISE,3,487,Well,Well
15240,Kill Feed,Death,Mei,Blue,Lucio,SAUNA,3,487,Well,Well
15240,Kill Feed,Kill,Lucio,Red,Mei,KELLEX,3,487,Well,Well
15540,Status Bar,Ult Ready,Lucio,Red,,KELLEX,3,487,Well,Well
15540,Kill Feed,Death,Moira,Blue,Winston,SLAY,3,487,Well,Well
15540,Kill Feed,Kill,D.Va,Blue,Sombra,XVESTOLA,3,487,Well,Well
15540,Kill Feed,Kill,Winston,Red,Moira,HADI,3,487,Well,Well
15540,Kill Feed,Assist,Sombra,Red,Moira,DANNEDD,3,487,Well,Well
15540,Kill Feed,Death,Sombra,Red,D.Va,DANNEDD,3,487,Well,Well
15840,Status Bar,Ult Used,D.Va,Blue,,XVESTOLA,3,487,Well,Well
16200,Status Bar,Ult Ready,D.Va,Blue,,XVESTOLA,3,487,Well,Well
16200,Status Bar,Swap,Winston,Blue,,WHITENOISE,3,487,Well,Well
16440,Status Bar,Ult Ready,Reaper,Blue,,SYCAMORE,3,487,Well,Well
16440,Status Bar,Swap,Sombra,Blue,,SAUNA,3,487,Well,Well
16680,Status Bar,Ult Ready,Moira,Red,,RIPA,3,487,Well,Well
16740,Status Bar,Ult Used,D.Va,Blue,,XVESTOLA,4,487,Well,Well
16800,Status Bar,Ult Ready,D.Va,Blue,,XVESTOLA,4,487,Well,Well
17880,Status Bar,Ult Used,Lucio,Red,,KELLEX,5,487,Well,Well
18060,Kill Feed,Kill,Moira,Red,Lucio,RIPA,5,487,Well,Well
18060,Kill Feed,Death,Lucio,Blue,Moira,KARRA,5,487,Well,Well
18240,Kill Feed,Death,Reaper,Blue,Reaper,SYCAMORE,5,487,Well,Well
18240,Kill Feed,Kill,Reaper,Red,Reaper,SPARKR,5,487,Well,Well
18360,Kill Feed,Kill,Reaper,Red,Sombra,SPARKR,5,487,Well,Well
18360,Status Bar,Ult Ready,Sombra,Red,,DANNEDD,5,487,Well,Well
18360,Kill Feed,Death,Sombra,Blue,Reaper,SAUNA,5,487,Well,Well
18360,Kill Feed,Assist,Lucio,Red,Sombra,KELLEX,5,487,Well,Well
18660,Status Bar,Ult Used,D.Va,Blue,,XVESTOLA,5,487,Well,Well
18900,Kill Feed,Death,D.Va,Blue,D.Va,XVESTOLA,5,487,Well,Well
18900,Kill Feed,Assist,Lucio,Red,D.Va,KELLEX,5,487,Well,Well
18900,Status Bar,Ult Ready,D.Va,Blue,,XVESTOLA,5,487,Well,Well
18900,Kill Feed,Kill,D.Va,Red,D.Va,MOLFIG,5,487,Well,Well
20580,Kill Feed,Kill,Reaper,Red,Reaper,SPARKR,6,487,Well,Well
20580,Kill Feed,Assist,Sombra,Red,Reaper,DANNEDD,6,487,Well,Well
20580,Kill Feed,Death,Reaper,Blue,Reaper,SYCAMORE,6,487,Well,Well
20580,Kill Feed,Assist,Lucio,Red,Reaper,KELLEX,6,487,Well,Well
20760,Status Bar,Ult Used,Sombra,Red,,DANNEDD,6,487,Well,Well
20760,Status Bar,Ult Used,Moira,Red,,RIPA,6,487,Well,Well
20760,Status Bar,Ult Ready,D.Va,Red,,MOLFIG,6,487,Well,Well
20820,Kill Feed,Kill,Sombra,Red,Moira,DANNEDD,6,487,Well,Well
20820,Kill Feed,Death,Moira,Blue,Sombra,SLAY,6,487,Well,Well
21000,Status Bar,Ult Used,D.Va,Red,,MOLFIG,6,487,Well,Well
21060,Kill Feed,Kill,Winston,Red,Winston,HADI,6,487,Well,Well
21060,Kill Feed,Death,Winston,Blue,Winston,WHITENOISE,6,487,Well,Well
21060,Kill Feed,Assist,Sombra,Red,Winston,DANNEDD,6,487,Well,Well
21180,Status Bar,Ult Used,D.Va,Blue,,XVESTOLA,6,487,Well,Well
21420,Status Bar,Ult Used,Winston,Red,,HADI,6,487,Well,Well
21600,Status Bar,Ult Ready,Moira,Blue,,SLAY,6,487,Well,Well
21660,Kill Feed,Kill,Reaper,Red,Sombra,SPARKR,6,487,Well,Well
21660,Kill Feed,Death,Sombra,Blue,Reaper,SAUNA,6,487,Well,Well
21660,Kill Feed,Assist,Lucio,Red,Sombra,KELLEX,6,487,Well,Well
21900,Kill Feed,Kill,Winston,Red,D.Va,HADI,6,487,Well,Well
21900,Kill Feed,Assist,Sombra,Blue,Moira,SAUNA,6,487,Well,Well
21900,Kill Feed,Death,Moira,Red,Reaper,RIPA,6,487,Well,Well
21900,Kill Feed,Death,D.Va,Blue,Winston,XVESTOLA,6,487,Well,Well
21900,Kill Feed,Kill,Reaper,Blue,Moira,SYCAMORE,6,487,Well,Well
21960,Status Bar,Ult Used,Moira,Blue,,SLAY,6,487,Well,Well
21960,Status Bar,Ult Ready,D.Va,Blue,,XVESTOLA,6,487,Well,Well
21960,Status Bar,Ult Used,Reaper,Blue,,SYCAMORE,6,487,Well,Well
22020,Kill Feed,Kill,Reaper,Blue,Reaper,SYCAMORE,6,487,Well,Well
22020,Kill Feed,Death,Reaper,Red,Reaper,SPARKR,6,487,Well,Well
