Frame,Type,Event,Hero,Colour,Against,Player,Fight,roundID,Team1Round,Team2Round
197820,Status Bar,Swap,Reinhardt,Blue,,HELV,0,571,Defence,Attack
197820,Status Bar,Swap,Lucio,Red,,KELLEX,0,571,Defence,Attack
197820,Status Bar,Swap,Moira,Red,,RIPA,0,571,Defence,Attack
197820,Status Bar,Swap,Mei,Red,,DANNEDD,0,571,Defence,Attack
197820,Status Bar,Swap,Reaper,Red,,SPARKR,0,571,Defence,Attack
197820,Status Bar,Swap,Zarya,Red,,MOLFIG,0,571,Defence,Attack
197820,Status Bar,Swap,Reinhardt,Red,,HADI,0,571,Defence,Attack
197820,Status Bar,Swap,Lucio,Blue,,ADMIRALRAPTR,0,571,Defence,Attack
197820,Status Bar,Swap,Moira,Blue,,KAAN,0,571,Defence,Attack
197820,Status Bar,Swap,Reaper,Blue,,LETHAL,0,571,Defence,Attack
197820,Status Bar,Swap,Sombra,Blue,,TXAO,0,571,Defence,Attack
197820,Status Bar,Swap,Zarya,Blue,,CENNY,0,571,Defence,Attack
199680,Kill Feed,Kill,Moira,Red,Reinhardt,RIPA,1,571,Defence,Attack
199680,Kill Feed,Death,Reinhardt,Blue,Moira,HELV,1,571,Defence,Attack
200340,Status Bar,Ult Ready,Moira,Red,,RIPA,1,571,Defence,Attack
200400,Kill Feed,Death,Reaper,Blue,Zarya,LETHAL,1,571,Defence,Attack
200400,Kill Feed,Kill,Zarya,Red,Reaper,MOLFIG,1,571,Defence,Attack
200400,Kill Feed,Assist,Lucio,Red,Reaper,KELLEX,1,571,Defence,Attack
202140,Status Bar,Ult Used,Moira,Red,,RIPA,2,571,Defence,Attack
202260,Status Bar,Ult Ready,Reinhardt,Blue,,HELV,2,571,Defence,Attack
202560,Kill Feed,Death,Reaper,Blue,Mei,LETHAL,2,571,Defence,Attack
202560,Kill Feed,Kill,Mei,Red,Reaper,DANNEDD,2,571,Defence,Attack
202560,Kill Feed,Assist,Lucio,Red,Reaper,KELLEX,2,571,Defence,Attack
202620,Status Bar,Ult Ready,Mei,Red,,DANNEDD,2,571,Defence,Attack
